ts_local,seq,symbol,event_type,source,side,quote_slot,price_tick,qty_lots,order_id,fill_source,details
1772633472.3978999,0,BTCUSDT,market_record,exchangeInfo,,,,,,,"{""base_asset"": ""BTC"", ""quote_asset"": ""USDT"", ""record_type"": ""exchangeInfo"", ""step_size"": ""0.001"", ""tick_size"": ""0.10""}"
1772633473.861,1,BTCUSDT,market_record,aggTrade,,,,,,,"{""buyer_is_maker"": false, ""price"": ""71599.80"", ""qty"": ""0.019"", ""record_type"": ""aggTrade""}"
1772633473.872,2,BTCUSDT,market_record,aggTrade,,,,,,,"{""buyer_is_maker"": true, ""price"": ""71599.70"", ""qty"": ""0.046"", ""record_type"": ""aggTrade""}"
1772633473.919,3,BTCUSDT,market_record,aggTrade,,,,,,,"{""buyer_is_maker"": false, ""price"": ""71599.80"", ""qty"": ""0.010"", ""record_type"": ""aggTrade""}"
1772633473.933,4,BTCUSDT,market_record,depthUpdate,,,,,,,"{""ask_updates"": 51, ""bid_updates"": 63, ""final_update_id"": 10038350834547, ""first_update_id"": 10038350828757, ""prev_update_id"": 10038350828674, ""record_type"": ""depthUpdate""}"
1772633473.934,5,BTCUSDT,market_record,aggTrade,,,,,,,"{""buyer_is_maker"": true, ""price"": ""71599.70"", ""qty"": ""0.140"", ""record_type"": ""aggTrade""}"
1772633473.979,6,BTCUSDT,market_record,aggTrade,,,,,,,"{""buyer_is_maker"": false, ""price"": ""71599.80"", ""qty"": ""0.002"", ""record_type"": ""aggTrade""}"
1772633474.035,7,BTCUSDT,market_record,depthUpdate,,,,,,,"{""ask_updates"": 41, ""bid_updates"": 62, ""final_update_id"": 10038350840119, ""first_update_id"": 10038350834575, ""prev_update_id"": 10038350834547, ""record_type"": ""depthUpdate""}"
1772633474.1,8,BTCUSDT,market_record,aggTrade,,,,,,,"{""buyer_is_maker"": true, ""price"": ""71599.70"", ""qty"": ""0.049"", ""record_type"": ""aggTrade""}"
1772633474.137,9,BTCUSDT,market_record,depthUpdate,,,,,,,"{""ask_updates"": 47, ""bid_updates"": 48, ""final_update_id"": 10038350844766, ""first_update_id"": 10038350840154, ""prev_update_id"": 10038350840119, ""record_type"": ""depthUpdate""}"
1772633474.171,10,BTCUSDT,market_record,aggTrade,,,,,,,"{""buyer_is_maker"": true, ""price"": ""71599.70"", ""qty"": ""0.205"", ""record_type"": ""aggTrade""}"
1772633474.172,11,BTCUSDT,market_record,aggTrade,,,,,,,"{""buyer_is_maker"": true, ""price"": ""71599.60"", ""qty"": ""0.002"", ""record_type"": ""aggTrade""}"
1772633474.172,12,BTCUSDT,market_record,aggTrade,,,,,,,"{""buyer_is_maker"": true, ""price"": ""71599.00"", ""qty"": ""0.002"", ""record_type"": ""aggTrade""}"
