rank,registry_variant_id,diagnostic_score,strategy_profile,half_spread_bps,queue_repost_lots,fill_count,quote_fill_probability,fills_per_quote_request,fills_per_arrived_order,avg_spread_captured,adverse_fill_rate_1s,avg_markout_1s,markout_by_fill_source,inventory_stdev,max_drawdown,fill_from_top_rate,avg_queue_ahead_lots,queue_fill_count,max_queue_ahead_lots,resting_arrival_queue_samples,arrival_with_queue_ahead_count,avg_arrival_queue_ahead_lots,max_arrival_queue_ahead_lots,avg_fill_wait_ms,fill_source_counts,order_lifecycle_counts,self_trade_prevention_count,total_pnl,total_fees,kill_switch_triggered,kill_switch_reason
1,26d43b5ec160e9f2,-0.0005,layered_mm,0.10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.0,0.0,0.0,0.0,0,0,4,2,1.0,2,0.0,"{""agg_trade"": 0, ""depth_update"": 0, ""taker_order"": 0}","{""arrival_scheduled"": 4, ""arrived"": 4, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 4, ""self_trade_prevented"": 0}",0,0.0,0.0,False,
2,ea5e47497cbe2bba,-0.0005,layered_mm,0.10,5,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.0,0.0,0.0,0.0,0,0,4,2,1.0,2,0.0,"{""agg_trade"": 0, ""depth_update"": 0, ""taker_order"": 0}","{""arrival_scheduled"": 4, ""arrived"": 4, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 4, ""self_trade_prevented"": 0}",0,0.0,0.0,False,
3,214810e12e598db4,-0.0005,layered_mm,0.10,99,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.0,0.0,0.0,0.0,0,0,4,2,1.0,2,0.0,"{""agg_trade"": 0, ""depth_update"": 0, ""taker_order"": 0}","{""arrival_scheduled"": 4, ""arrived"": 4, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 4, ""self_trade_prevented"": 0}",0,0.0,0.0,False,
4,94370468f1f5c82a,-0.00075,baseline,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.0,0.0,0.0,0.0,0,0,2,2,1.5,2,0.0,"{""agg_trade"": 0, ""depth_update"": 0, ""taker_order"": 0}","{""arrival_scheduled"": 2, ""arrived"": 2, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 2, ""self_trade_prevented"": 0}",0,0.0,0.0,False,
5,277ba5da4618a1db,-0.00075,baseline,0.05,5,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.0,0.0,0.0,0.0,0,0,2,2,1.5,2,0.0,"{""agg_trade"": 0, ""depth_update"": 0, ""taker_order"": 0}","{""arrival_scheduled"": 2, ""arrived"": 2, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 2, ""self_trade_prevented"": 0}",0,0.0,0.0,False,
6,02336bfd2b7c8f05,-0.00075,baseline,0.05,99,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.0,0.0,0.0,0.0,0,0,2,2,1.5,2,0.0,"{""agg_trade"": 0, ""depth_update"": 0, ""taker_order"": 0}","{""arrival_scheduled"": 2, ""arrived"": 2, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 2, ""self_trade_prevented"": 0}",0,0.0,0.0,False,
7,1ea3e3cc1b647c6e,-0.000875,layered_mm,0.05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.0,0.0,0.0,0.0,0,0,4,2,1.75,6,0.0,"{""agg_trade"": 0, ""depth_update"": 0, ""taker_order"": 0}","{""arrival_scheduled"": 4, ""arrived"": 4, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 4, ""self_trade_prevented"": 0}",0,0.0,0.0,False,
8,05b5acd8381cb949,-0.000875,layered_mm,0.05,5,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.0,0.0,0.0,0.0,0,0,4,2,1.75,6,0.0,"{""agg_trade"": 0, ""depth_update"": 0, ""taker_order"": 0}","{""arrival_scheduled"": 4, ""arrived"": 4, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 4, ""self_trade_prevented"": 0}",0,0.0,0.0,False,
9,8478d8564252daef,-0.000875,layered_mm,0.05,99,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.0,0.0,0.0,0.0,0,0,4,2,1.75,6,0.0,"{""agg_trade"": 0, ""depth_update"": 0, ""taker_order"": 0}","{""arrival_scheduled"": 4, ""arrived"": 4, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 4, ""self_trade_prevented"": 0}",0,0.0,0.0,False,
10,191fdd94f2c6ea58,-0.001,baseline,0.10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,"{""agg_trade"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""depth_update"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}, ""taker_order"": {""adverse_fill_rate_1s"": 0.0, ""adverse_samples"": 0, ""avg_markout_1s"": 0.0, ""qty"": 0.0, ""samples"": 0}}",0.0,0.0,0.0,0.0,0,0,2,2,2.0,2,0.0,"{""agg_trade"": 0, ""depth_update"": 0, ""taker_order"": 0}","{""arrival_scheduled"": 2, ""arrived"": 2, ""cancel_acknowledged"": 0, ""cancel_requested"": 0, ""expired_unfilled_arrivals"": 0, ""immediate_fill_arrivals"": 0, ""rested_after_arrival"": 2, ""self_trade_prevented"": 0}",0,0.0,0.0,False,
