ts_local,seq,symbol,event_type,source,side,quote_slot,price_tick,qty_lots,order_id,fill_source,details
0.5,0,BTCUSDT,market_record,exchangeInfo,,,,,,,"{""base_asset"": ""BTC"", ""quote_asset"": ""USDT"", ""record_type"": ""exchangeInfo"", ""step_size"": ""0.001"", ""tick_size"": ""0.1""}"
1.0,1,BTCUSDT,market_record,snapshot,,,,,,,"{""ask_levels"": 1, ""bid_levels"": 1, ""last_update_id"": 100, ""record_type"": ""snapshot""}"
2.0,2,BTCUSDT,market_record,depthUpdate,,,,,,,"{""ask_updates"": 1, ""bid_updates"": 1, ""final_update_id"": 105, ""first_update_id"": 95, ""prev_update_id"": 94, ""record_type"": ""depthUpdate""}"
2.0,3,BTCUSDT,decision,strategy,,,,,,,"{""diagnostics"": {""best_ask_tick"": 1001, ""best_bid_tick"": 1000, ""book_imbalance"": ""-0.2"", ""half_spread_bps"": ""0.05"", ""half_spread_ticks"": ""1"", ""inventory_qty"": ""0.000"", ""mid_price"": ""100.05"", ""mid_ticks"": ""1000.5"", ""profile"": ""baseline"", ""recent_trade_imbalance"": ""0"", ""size_lots"": 1, ""skew_ticks"": ""0.0000"", ""spread_scale"": ""1"", ""top_of_book_imbalance"": ""-0.2"", ""trade_imbalance"": ""0"", ""volatility"": ""0""}, ""inventory_qty"": ""0.000"", ""quote_count"": 2, ""quotes"": [{""price_tick"": 1000, ""qty_lots"": 1, ""quote_slot"": ""base"", ""refresh_key"": ""baseline:1000:1001:bid"", ""side"": ""bid""}, {""price_tick"": 1002, ""qty_lots"": 1, ""quote_slot"": ""base"", ""refresh_key"": ""baseline:1000:1001:ask"", ""side"": ""ask""}], ""strategy_profile"": ""baseline""}"
2.0,4,BTCUSDT,order_arrival_scheduled,engine,bid,base,1000,1,,,"{""arrival_ts"": 2.0, ""cancel_ack_ts"": null, ""order_latency_ms"": 0.0}"
2.0,5,BTCUSDT,order_arrival_scheduled,engine,ask,base,1002,1,,,"{""arrival_ts"": 2.0, ""cancel_ack_ts"": null, ""order_latency_ms"": 0.0}"
2.0,6,BTCUSDT,order_arrival,engine,bid,base,1000,1,BTCUSDT-bid-2000000-3,,"{""immediate_fills"": 0, ""queue_ahead_lots_after_arrival"": 2, ""refresh_key"": ""baseline:1000:1001:bid"", ""remaining_lots_after_arrival"": 1, ""resting_after_arrival"": true}"
2.0,7,BTCUSDT,order_arrival,engine,ask,base,1002,1,BTCUSDT-ask-2000000-4,,"{""immediate_fills"": 0, ""queue_ahead_lots_after_arrival"": 0, ""refresh_key"": ""baseline:1000:1001:ask"", ""remaining_lots_after_arrival"": 1, ""resting_after_arrival"": true}"
2.2,8,BTCUSDT,market_record,depthUpdate,,,,,,,"{""ask_updates"": 1, ""bid_updates"": 1, ""final_update_id"": 106, ""first_update_id"": 106, ""prev_update_id"": 105, ""record_type"": ""depthUpdate""}"
2.2,9,BTCUSDT,queue_consumption,depth_update,bid,,1000,1,,,"{""modeled_lots"": 1, ""observed_lots"": 1, ""overlap_netted_lots"": 0, ""overlap_window_seconds"": 0.125, ""queue_consumed_lots"": 1, ""unmatched_lots"": 0}"
